Feature,Importance
num__F1183,4.702276e-05
num__F1318,4.6771638e-05
num__F1812,4.634365e-05
num__F16,4.616656e-05
num__F1652,4.5424225e-05
num__F3600,4.536798e-05
num__F1065,4.5337514e-05
num__F3880,4.440104e-05
num__F1865,4.3584743e-05
num__F1486,4.3488075e-05
num__F2139,4.335817e-05
num__F2292,4.2653897e-05
num__F532,4.249865e-05
num__F673,4.2289084e-05
num__F1795,4.2185624e-05
num__F3682,4.1401734e-05
num__F1333,4.0423478e-05
num__F2186,3.9980157e-05
num__F269,3.9696017e-05
num__F2246,3.956501e-05
num__F466,3.8960578e-05
num__F2138,3.8730384e-05
cat__F3890_SU,3.8133236e-05
num__F144,3.8107366e-05
num__F2044,3.6595724e-05
num__F1216,3.6012265e-05
num__F407,3.5633264e-05
num__F3840,3.4774857e-05
num__F2642,3.4561293e-05
num__F2885,3.4345412e-05
num__F3533,3.424363e-05
num__F2291,3.3115295e-05
num__F2385,3.2790558e-05
num__F2083,3.2331714e-05
num__F1207,3.229342e-05
num__F1646,3.200116e-05
num__F2247,3.0787847e-05
num__F524,3.068687e-05
num__F306,3.0659736e-05
num__F3710,3.047145e-05
num__F3575,3.0370727e-05
num__F113,3.032701e-05
num__F1279,2.9812956e-05
num__F1710,2.9316996e-05
num__F2284,2.9228662e-05
num__F1797,2.8902687e-05
num__F1828,2.8695453e-05
num__F2638,2.808101e-05
num__F2117,2.7463555e-05
num__F1107,2.7451275e-05
num__F1973,2.694408e-05
num__F3599,2.6921845e-05
num__F670,2.6644828e-05
num__F886,2.5802752e-05
num__F2142,2.5331094e-05
num__F1105,2.530052e-05
num__F3488,2.5290521e-05
num__F2746,2.4851968e-05
num__F1173,2.4748906e-05
num__F3868,2.4624385e-05
num__F622,2.3787345e-05
num__F3701,2.3616138e-05
num__F1490,2.3558207e-05
num__F3500,2.316072e-05
cat__F3891_salaried,2.3112936e-05
num__F3492,2.2795239e-05
num__F1381,2.1677844e-05
num__F2750,2.0854868e-05
num__F1706,1.9414996e-05
num__F1864,1.9014877e-05
num__F3796,1.8781506e-05
num__F1075,1.8647426e-05
num__F3647,1.8356224e-05
num__F1312,1.8183335e-05
num__F3711,1.8033332e-05
num__F1645,1.7822278e-05
num__F523,1.7784292e-05
num__F1328,1.7672488e-05
num__F2890,1.7043523e-05
num__F1820,1.6981032e-05
num__F3002,1.6351592e-05
num__F2344,1.6326776e-05
num__F3755,1.6188666e-05
num__F264,1.6107204e-05
num__F3709,1.6106042e-05
num__F571,1.5964653e-05
num__F2777,1.568792e-05
num__F3829,1.4853447e-05
num__F2297,1.4460435e-05
num__F3582,1.4316151e-05
num__F2691,1.4258151e-05
num__F2842,1.4000501e-05
num__F1540,1.3277661e-05
num__F262,1.2922264e-05
num__F2031,1.1536048e-05
num__F3745,1.1383322e-05
num__F1153,1.125092e-05
num__F1112,1.0284717e-05
num__F1489,8.683255e-06
num__F564,8.484701e-06
num__F569,7.1924123e-06
num__F1595,6.6168996e-06
num__F2956,6.5741615e-06
num__F1852,6.0710304e-06
num__F1254,5.1995626e-06
num__F2545,4.5109646e-06
num__F463,4.3258124e-06
num__F3498,3.722945e-06
num__F3843,3.5991836e-06
num__F362,3.5914268e-06
num__F3574,3.1703055e-06
num__F1205,3.048456e-06
num__F1099,1.9331726e-06
num__F2173,1.0696739e-06
num__F329,7.6856554e-07
num__F1324,6.661084e-07
num__F3703,5.220983e-07
num__F122,0.0
num__F123,0.0
num__F124,0.0
num__F125,0.0
num__F133,0.0
num__F135,0.0
num__F136,0.0
num__F138,0.0
num__F139,0.0
num__F141,0.0
num__F145,0.0
num__F147,0.0
num__F151,0.0
num__F153,0.0
num__F159,0.0
num__F160,0.0
num__F163,0.0
num__F166,0.0
num__F167,0.0
num__F193,0.0
num__F196,0.0
num__F199,0.0
num__F201,0.0
num__F202,0.0
num__F204,0.0
num__F205,0.0
num__F206,0.0
num__F207,0.0
num__F208,0.0
num__F209,0.0
num__F217,0.0
num__F218,0.0
num__F221,0.0
num__F222,0.0
num__F225,0.0
num__F226,0.0
num__F227,0.0
num__F228,0.0
num__F230,0.0
num__F231,0.0
num__F232,0.0
num__F233,0.0
num__F234,0.0
num__F241,0.0
num__F243,0.0
num__F244,0.0
num__F246,0.0
num__F247,0.0
num__F249,0.0
num__F250,0.0
num__F252,0.0
num__F253,0.0
num__F258,0.0
num__F260,0.0
num__F263,0.0
num__F271,0.0
num__F272,0.0
num__F294,0.0
num__F297,0.0
num__F300,0.0
num__F302,0.0
num__F303,0.0
num__F305,0.0
num__F309,0.0
num__F318,0.0
num__F320,0.0
num__F325,0.0
num__F326,0.0
num__F328,0.0
num__F330,0.0
num__F331,0.0
num__F332,0.0
num__F333,0.0
num__F334,0.0
num__F335,0.0
num__F359,0.0
num__F360,0.0
num__F361,0.0
num__F363,0.0
num__F368,0.0
num__F370,0.0
num__F373,0.0
num__F374,0.0
num__F408,0.0
num__F411,0.0
num__F418,0.0
num__F422,0.0
num__F425,0.0
num__F426,0.0
num__F427,0.0
num__F430,0.0
num__F431,0.0
num__F432,0.0
num__F433,0.0
num__F434,0.0
num__F435,0.0
num__F442,0.0
num__F444,0.0
num__F445,0.0
num__F447,0.0
num__F448,0.0
num__F450,0.0
num__F456,0.0
num__F460,0.0
num__F461,0.0
num__F462,0.0
num__F472,0.0
num__F473,0.0
num__F475,0.0
num__F496,0.0
num__F499,0.0
num__F502,0.0
num__F504,0.0
num__F505,0.0
num__F507,0.0
num__F508,0.0
num__F509,0.0
num__F511,0.0
num__F512,0.0
num__F513,0.0
num__F520,0.0
num__F525,0.0
num__F527,0.0
num__F528,0.0
num__F529,0.0
num__F531,0.0
num__F533,0.0
num__F534,0.0
num__F535,0.0
num__F536,0.0
num__F537,0.0
num__F544,0.0
num__F546,0.0
num__F547,0.0
num__F549,0.0
num__F550,0.0
num__F552,0.0
num__F553,0.0
num__F555,0.0
num__F558,0.0
num__F561,0.0
num__F563,0.0
num__F565,0.0
num__F570,0.0
num__F572,0.0
num__F574,0.0
num__F575,0.0
num__F578,0.0
num__F598,0.0
num__F601,0.0
num__F604,0.0
num__F606,0.0
num__F607,0.0
num__F609,0.0
num__F610,0.0
num__F611,0.0
num__F612,0.0
num__F613,0.0
num__F614,0.0
num__F615,0.0
num__F616,0.0
num__F617,0.0
num__F618,0.0
num__F619,0.0
num__F620,0.0
num__F621,0.0
num__F623,0.0
num__F624,0.0
num__F626,0.0
num__F627,0.0
num__F628,0.0
num__F629,0.0
num__F630,0.0
num__F631,0.0
num__F632,0.0
num__F633,0.0
num__F634,0.0
num__F635,0.0
num__F636,0.0
num__F637,0.0
num__F638,0.0
num__F639,0.0
num__F640,0.0
num__F641,0.0
num__F642,0.0
num__F643,0.0
num__F644,0.0
num__F645,0.0
num__F646,0.0
num__F647,0.0
num__F648,0.0
num__F649,0.0
num__F650,0.0
num__F651,0.0
num__F652,0.0
num__F653,0.0
num__F654,0.0
num__F655,0.0
num__F656,0.0
num__F657,0.0
num__F658,0.0
num__F659,0.0
num__F660,0.0
num__F661,0.0
num__F662,0.0
num__F663,0.0
num__F664,0.0
num__F665,0.0
num__F666,0.0
num__F667,0.0
num__F668,0.0
num__F669,0.0
num__F671,0.0
num__F672,0.0
num__F674,0.0
num__F675,0.0
num__F676,0.0
num__F677,0.0
num__F678,0.0
num__F679,0.0
num__F680,0.0
num__F681,0.0
num__F682,0.0
num__F683,0.0
num__F684,0.0
num__F685,0.0
num__F686,0.0
num__F687,0.0
num__F688,0.0
num__F689,0.0
num__F690,0.0
num__F691,0.0
num__F692,0.0
num__F693,0.0
num__F694,0.0
num__F695,0.0
num__F696,0.0
num__F697,0.0
num__F698,0.0
num__F699,0.0
num__F700,0.0
num__F701,0.0
num__F702,0.0
num__F703,0.0
num__F704,0.0
num__F705,0.0
num__F706,0.0
num__F707,0.0
num__F708,0.0
num__F709,0.0
num__F710,0.0
num__F711,0.0
num__F712,0.0
num__F713,0.0
num__F714,0.0
num__F715,0.0
num__F716,0.0
num__F717,0.0
num__F718,0.0
num__F719,0.0
num__F720,0.0
num__F721,0.0
num__F722,0.0
num__F723,0.0
num__F724,0.0
num__F725,0.0
num__F726,0.0
num__F727,0.0
num__F728,0.0
num__F729,0.0
num__F730,0.0
num__F731,0.0
num__F732,0.0
num__F734,0.0
num__F735,0.0
num__F736,0.0
num__F737,0.0
num__F738,0.0
num__F739,0.0
num__F740,0.0
num__F741,0.0
num__F742,0.0
num__F743,0.0
num__F744,0.0
num__F745,0.0
num__F746,0.0
num__F747,0.0
num__F748,0.0
num__F749,0.0
num__F750,0.0
num__F751,0.0
num__F752,0.0
num__F753,0.0
num__F754,0.0
num__F755,0.0
num__F756,0.0
num__F757,0.0
num__F758,0.0
num__F759,0.0
num__F760,0.0
num__F761,0.0
num__F762,0.0
num__F763,0.0
num__F764,0.0
num__F765,0.0
num__F766,0.0
num__F767,0.0
num__F768,0.0
num__F769,0.0
num__F770,0.0
num__F771,0.0
num__F772,0.0
num__F773,0.0
num__F774,0.0
num__F775,0.0
num__F776,0.0
num__F777,0.0
num__F778,0.0
num__F779,0.0
num__F780,0.0
num__F782,0.0
num__F783,0.0
num__F784,0.0
num__F785,0.0
num__F786,0.0
num__F787,0.0
num__F788,0.0
num__F789,0.0
num__F790,0.0
num__F791,0.0
num__F792,0.0
num__F793,0.0
num__F794,0.0
num__F795,0.0
num__F796,0.0
num__F797,0.0
num__F798,0.0
num__F799,0.0
num__F800,0.0
num__F801,0.0
num__F802,0.0
num__F803,0.0
num__F804,0.0
num__F805,0.0
num__F806,0.0
num__F807,0.0
num__F808,0.0
num__F809,0.0
num__F810,0.0
num__F811,0.0
num__F812,0.0
num__F813,0.0
num__F814,0.0
num__F815,0.0
num__F816,0.0
num__F817,0.0
num__F818,0.0
num__F819,0.0
num__F820,0.0
num__F821,0.0
num__F822,0.0
num__F823,0.0
num__F824,0.0
num__F825,0.0
num__F826,0.0
num__F827,0.0
num__F828,0.0
num__F829,0.0
num__F830,0.0
num__F831,0.0
num__F832,0.0
num__F833,0.0
num__F834,0.0
num__F835,0.0
num__F836,0.0
num__F837,0.0
num__F839,0.0
num__F840,0.0
num__F842,0.0
num__F843,0.0
num__F844,0.0
num__F845,0.0
num__F846,0.0
num__F848,0.0
num__F849,0.0
num__F850,0.0
num__F851,0.0
num__F852,0.0
num__F854,0.0
num__F855,0.0
num__F856,0.0
num__F857,0.0
num__F858,0.0
num__F859,0.0
num__F860,0.0
num__F861,0.0
num__F862,0.0
num__F863,0.0
num__F864,0.0
num__F865,0.0
num__F866,0.0
num__F867,0.0
num__F868,0.0
num__F869,0.0
num__F870,0.0
num__F871,0.0
num__F872,0.0
num__F873,0.0
num__F874,0.0
